pathway,ES,NES,size,padj
utr3_High,-0.40766611471377273,-1.2314919985699004,72,0.6056229620610997
utr5_High,0.36555457593532886,1.1148625741042297,39,1
utr3_All,-0.25765166882720986,-0.962817859824594,883,1
utr5_All,-0.26139624395335875,-0.9256243363162779,306,1
