category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,FDR
utr5_All,0.18240743378767107,0.9262507149885425,6,306,0.7296297351506843
utr5_High,0.4081210926875001,0.9098060874576183,1,39,0.8162421853750002
utr3_High,0.6138118814894464,0.7679486887356353,1,72,0.8184158419859285
utr3_All,0.9472367865893118,0.14151575993903687,9,883,0.9472367865893118
